Date,Loss
20110513,-1
20110516,-1
20110519,-1
20110527,-1
20110604,-2
20110608,-1
20110609,-5
20110610,-9
20110613,-1
20110615,-2
20110616,-1
20110625,-2
20110629,-1
20110630,-1
20110703,-1
20110704,-1
20110707,-1
20110710,-1
20110716,-1
20110727,-1
20110730,-1
20110801,-1
20110802,-3
20110804,-1
20110805,-3
20110810,-1
20110819,-1
20110824,-1
20110825,-2
20110830,-1
20110902,-1
20110905,-1
20110908,-2
20110914,-1
20110921,-1
20110923,-1
20111006,-1
20111016,-1
20111017,-1
20111029,-1
20111114,-1
20111117,-1
20111126,-1
20120109,-1
20120113,-1
20120117,-1
20120126,-1
20120129,-1
20120206,-1
20120213,-1
20120214,-1
20120609,-1
20120615,-1
20120622,-1
20120702,-1
20120721,-1
20120816,-2
20120818,-4
20120830,-1
20120903,-1
20120919,-1
20121006,-1
20121024,-1
20121025,-1
20121102,-1
20121208,-1
20121215,-1
20121222,-1
20130101,-1
20130105,-1
20130124,-1
20130202,-1
20130204,-1
20130213,-1
20130302,-1
20130310,-1
20130312,-4
20130322,-1
20130323,-6
20130328,-3
20130403,-3
20130409,-65
20130410,-40
20130411,-8
20130412,-24
20130413,-3
20130414,-8
20130415,-14
20130420,-8
20130424,-12
20130425,-5
20130426,-9
20130429,-5
20130430,-23
20130501,-10
20130502,-8
20130505,-4
20130506,-2
20130510,-2
20130511,-1
20130513,-7
20130517,-1
20130519,-1
20130524,-1
20130526,-4
20130527,-1
20130529,-3
20130601,-6
20130602,-2
20130605,-3
20130606,-8
20130607,-3
20130608,-8
20130612,-5
20130613,-4
20130620,-1
20130621,-2
20130623,-6
20130626,-2
20130627,-7
20130630,-10
20130702,-11
20130704,-11
20130707,-1
20130713,-4
20130715,-2
20130717,-9
20130719,-2
20130723,-1
20130725,-1
20130726,-2
20130730,-2
20130731,-2
20130806,-1
20130807,-3
20130814,-3
20130815,-1
20130821,-1
20130822,-3
20130825,-2
20130827,-2
20130901,-2
20130903,-11
20130904,-3
20130905,-8
20130907,-3
20130911,-3
20130913,-4
20130918,-5
20130919,-1
20130922,-1
20130929,-2
20130930,-2
20131001,-17
20131006,-2
20131015,-5
20131023,-21
20131024,-9
20131025,-9
20131030,-8
20131102,-1
20131110,-32
20131114,-2
20131119,-139
20131120,-8
20131124,-38
20131130,-1
20131201,-202
20131205,-132
20131206,-261
20131207,-148
20131211,-114
20131212,-20
20131214,-28
20131216,-160
20131217,-45
20131218,-174
20131220,-82
20131221,-10
20131222,-1
20131224,-10
20131228,-41
20140106,-2
20140107,-133
20140109,-2
20140112,-65
20140113,-17
20140114,-4
20140116,-28
20140117,-19
20140122,-11
20140123,-7
20140124,-27
20140127,-63
20140128,-11
20140129,-7
20140131,-2
20140203,-21
20140204,-5
20140205,-22
20140206,-76
20140207,-133
20140208,-47
20140210,-77
20140211,-4
20140212,-48
20140213,-80
20140214,-23
20140215,-57
20140216,-71
20140217,-28
20140219,-32
20140220,-150
20140224,-136
20140225,-38
20140228,-22
20140301,-17
20140302,-12
20140305,-4
20140306,-10
20140307,-31
20140308,-8
20140310,-14
20140311,-4
20140314,-11
20140316,-5
20140317,-13
20140318,-7
20140319,-4
20140320,-29
20140321,-16
20140323,-13
20140325,-5
20140326,-1
20140327,-102
20140329,-6
20140330,-2
20140401,-39
20140405,-1
20140408,-10
20140409,-72
20140412,-10
20140416,-35
20140417,-16
20140419,-7
20140420,-4
20140421,-7
20140422,-1
20140424,-36
20140425,-6
20140426,-15
20140427,-1
20140501,-6
20140502,-15
20140503,-3
20140504,-5
20140507,-6
20140510,-19
20140512,-4
20140516,-1
20140517,-3
20140518,-6
20140526,-12
20140528,-7
20140603,-30
20140605,-10
20140607,-1
20140608,-7
20140610,-13
20140611,-46
20140613,-27
20140614,-1
20140618,-6
20140619,-9
20140622,-13
20140623,-2
20140624,-21
20140627,-4
20140702,-8
20140703,-14
20140704,-1
20140706,-13
20140709,-5
20140712,-8
20140713,-10
20140715,-5
20140719,-6
20140721,-2
20140722,-1
20140723,-20
20140724,-1
20140725,-5
20140726,-1
20140727,-7
20140728,-2
20140729,-21
20140801,-7
20140802,-3
20140804,-4
20140808,-6
20140810,-16
20140811,-8
20140812,-26
20140813,-37
20140814,-9
20140816,-36
20140817,-24
20140821,-2
20140822,-18
20140824,-7
20140827,-4
20140829,-7
20140830,-24
20140831,-5
20140904,-7
20140907,-10
20140908,-1
20140910,-2
20140915,-11
20140916,-6
20140917,-37
20140918,-26
20140920,-10
20140923,-13
20140924,-12
20140925,-8
20140926,-5
20140927,-20
20140928,-2
20140930,-5
20141001,-8
20141002,-12
20141003,-28
20141004,-12
20141010,-1
20141014,-4
20141015,-13
20141018,-4
20141019,-7
20141021,-3
20141022,-23
20141023,-1
20141024,-8
20141029,-16
20141031,-7
20141101,-13
20141102,-2
20141107,-6
20141111,-2
20141113,-3
20141114,-32
20141115,-22
20141117,-1
20141118,-6
20141120,-24
20141121,-5
20141125,-3
20141126,-11
20141129,-2
20141130,-1
20141203,-4
20141204,-7
20141206,-2
20141208,-11
20141209,-13
20141210,-4
20141213,-5
20141215,-4
20141216,-15
20141217,-10
20141218,-10
20141221,-7
20141224,-13
20141225,-3
20141227,-15
20141229,-3
20141230,-3
20150101,-3
20150103,-28
20150104,-22
20150108,-8
20150110,-15
20150111,-8
20150113,-48
20150114,-56
20150116,-3
20150117,-7
20150120,-5
20150123,-1
20150127,-6
20150128,-27
20150129,-2
20150130,-2
20150131,-13
20150203,-12
20150205,-10
20150208,-4
20150209,-4
20150211,-1
20150215,-26
20150218,-8
20150221,-1
20150222,-8
20150225,-2
20150304,-9
20150306,-2
20150308,-1
20150312,-2
20150313,-7
20150314,-5
20150317,-5
20150318,-29
20150321,-2
20150323,-4
20150324,-18
20150325,-1
20150327,-1
20150329,-10
20150330,-3
20150403,-1
20150405,-5
20150406,-2
20150407,-8
20150408,-2
20150409,-8
20150412,-12
20150413,-6
20150416,-5
20150423,-4
20150424,-5
20150425,-7
20150427,-3
20150428,-1
20150430,-3
20150503,-1
20150504,-3
20150505,-6
20150508,-3
20150509,-1
20150512,-6
20150515,-1
20150517,-3
20150518,-1
20150522,-1
20150524,-4
20150526,-1
20150529,-4
20150530,-3
20150531,-7
20150603,-2
20150606,-2
20150609,-1
20150616,-3
20150618,-4
20150620,-1
20150622,-3
20150623,-3
20150627,-2
20150630,-6
20150701,-3
20150705,-1
20150706,-3
20150712,-20
20150713,-3
20150714,-4
20150715,-6
20150717,-6
20150718,-1
20150720,-3
20150728,-6
20150729,-1
20150730,-3
20150731,-4
20150804,-2
20150805,-4
20150807,-19
20150809,-1
20150811,-1
20150812,-5
20150814,-4
20150815,-4
20150817,-10
20150818,-21
20150820,-3
20150821,-2
20150822,-3
20150823,-16
20150826,-2
20150828,-3
20150829,-1
20150831,-2
20150902,-3
20150908,-6
20150911,-4
20150912,-6
20150915,-1
20150917,-1
20150918,-1
20150920,-5
20150925,-1
20150926,-1
